Entity,Code,Year,Average surface temperature
Australia,AUS,1940,22.553228
Australia,AUS,1941,21.851122
Australia,AUS,1942,22.07161
Australia,AUS,1943,21.519838
Australia,AUS,1944,22.003181
Australia,AUS,1945,21.82939
Australia,AUS,1946,21.802504
Australia,AUS,1947,21.872995
Australia,AUS,1948,21.70157
Australia,AUS,1949,21.081621
Australia,AUS,1950,21.77683
Australia,AUS,1951,22.123793
Australia,AUS,1952,21.863434
Australia,AUS,1953,21.868975
Australia,AUS,1954,21.963236
Australia,AUS,1955,21.69899
Australia,AUS,1956,21.2189
Australia,AUS,1957,22.271765
Australia,AUS,1958,22.513481
Australia,AUS,1959,22.443352
Australia,AUS,1960,21.558435
Australia,AUS,1961,22.323862
Australia,AUS,1962,22.038721
Australia,AUS,1963,21.786531
Australia,AUS,1964,21.823069
Australia,AUS,1965,22.261217
Australia,AUS,1966,21.557257
Australia,AUS,1967,21.73857
Australia,AUS,1968,21.38202
Australia,AUS,1969,21.933594
Australia,AUS,1970,21.896845
Australia,AUS,1971,21.555687
Australia,AUS,1972,21.98227
Australia,AUS,1973,22.037512
Australia,AUS,1974,20.584202
Australia,AUS,1975,21.228804
Australia,AUS,1976,20.955015
Australia,AUS,1977,21.645136
Australia,AUS,1978,21.344397
Australia,AUS,1979,22.050299
Australia,AUS,1980,22.476896
Australia,AUS,1981,21.975897
Australia,AUS,1982,21.816086
Australia,AUS,1983,22.079447
Australia,AUS,1984,21.377413
Australia,AUS,1985,21.955
Australia,AUS,1986,21.988586
Australia,AUS,1987,21.95006
Australia,AUS,1988,22.466513
Australia,AUS,1989,21.693398
Australia,AUS,1990,22.241304
Australia,AUS,1991,22.329748
Australia,AUS,1992,21.666819
Australia,AUS,1993,21.976034
Australia,AUS,1994,22.02974
Australia,AUS,1995,21.740072
Australia,AUS,1996,22.21434
Australia,AUS,1997,21.92826
Australia,AUS,1998,22.45062
Australia,AUS,1999,21.750826
Australia,AUS,2000,21.287556
Australia,AUS,2001,21.458199
Australia,AUS,2002,22.310005
Australia,AUS,2003,22.224907
Australia,AUS,2004,22.07805
Australia,AUS,2005,22.727583
Australia,AUS,2006,22.045454
Australia,AUS,2007,22.272028
Australia,AUS,2008,22.009054
Australia,AUS,2009,22.494513
Australia,AUS,2010,21.751925
Australia,AUS,2011,21.347992
Australia,AUS,2012,21.739702
Australia,AUS,2013,22.897362
Australia,AUS,2014,22.5949
Australia,AUS,2015,22.5064
Australia,AUS,2016,22.401682
Australia,AUS,2017,22.474947
Australia,AUS,2018,22.603178
Australia,AUS,2019,23.126204
Australia,AUS,2020,22.580719
Australia,AUS,2021,21.964605
Australia,AUS,2022,21.874098
Australia,AUS,2023,22.426826
Australia,AUS,2024,22.790445
Belarus,BLR,1940,3.797262
Belarus,BLR,1941,3.5959852
Belarus,BLR,1942,3.9194434
Belarus,BLR,1943,6.1462536
Belarus,BLR,1944,6.469402
Belarus,BLR,1945,5.491923
Belarus,BLR,1946,6.033421
Belarus,BLR,1947,5.372556
Belarus,BLR,1948,6.6367087
Belarus,BLR,1949,6.724481
Belarus,BLR,1950,6.2105317
Belarus,BLR,1951,6.236923
Belarus,BLR,1952,5.3724
Belarus,BLR,1953,5.730759
Belarus,BLR,1954,5.400537
Belarus,BLR,1955,5.6793365
Belarus,BLR,1956,4.172131
Belarus,BLR,1957,6.621096
Belarus,BLR,1958,5.815853
Belarus,BLR,1959,6.5735173
Belarus,BLR,1960,6.398188
Belarus,BLR,1961,6.848126
Belarus,BLR,1962,5.7353973
Belarus,BLR,1963,5.2291026
Belarus,BLR,1964,5.7698617
Belarus,BLR,1965,4.8836145
Belarus,BLR,1966,6.6417713
Belarus,BLR,1967,6.6529236
Belarus,BLR,1968,5.5577636
Belarus,BLR,1969,4.4428887
Belarus,BLR,1970,5.6273456
Belarus,BLR,1971,6.341255
Belarus,BLR,1972,6.5800743
Belarus,BLR,1973,6.052229
Belarus,BLR,1974,6.705591
Belarus,BLR,1975,7.860069
Belarus,BLR,1976,4.763372
Belarus,BLR,1977,5.9161954
Belarus,BLR,1978,5.1103234
Belarus,BLR,1979,5.7803073
Belarus,BLR,1980,4.8955073
Belarus,BLR,1981,6.5575943
Belarus,BLR,1982,6.5655875
Belarus,BLR,1983,7.453591
Belarus,BLR,1984,6.2350516
Belarus,BLR,1985,4.6177015
Belarus,BLR,1986,5.89818
Belarus,BLR,1987,4.2585063
Belarus,BLR,1988,6.384077
Belarus,BLR,1989,8.128534
Belarus,BLR,1990,7.7150445
Belarus,BLR,1991,6.774758
Belarus,BLR,1992,7.0296955
Belarus,BLR,1993,5.9741883
Belarus,BLR,1994,6.720157
Belarus,BLR,1995,7.031979
Belarus,BLR,1996,5.6340795
Belarus,BLR,1997,6.340318
Belarus,BLR,1998,6.498444
Belarus,BLR,1999,7.760975
Belarus,BLR,2000,7.9091263
Belarus,BLR,2001,7.116371
Belarus,BLR,2002,7.712394
Belarus,BLR,2003,6.639831
Belarus,BLR,2004,6.773668
Belarus,BLR,2005,6.8226624
Belarus,BLR,2006,6.8744583
Belarus,BLR,2007,7.8499126
Belarus,BLR,2008,8.069812
Belarus,BLR,2009,7.151399
Belarus,BLR,2010,7.0222116
Belarus,BLR,2011,7.547722
Belarus,BLR,2012,6.8531985
Belarus,BLR,2013,7.587446
Belarus,BLR,2014,7.806679
Belarus,BLR,2015,8.641
Belarus,BLR,2016,7.767491
Belarus,BLR,2017,7.6680837
Belarus,BLR,2018,7.9285846
Belarus,BLR,2019,8.870999
Belarus,BLR,2020,9.10681
Belarus,BLR,2021,7.307895
Belarus,BLR,2022,7.840279
Belarus,BLR,2023,8.788589
Belarus,BLR,2024,9.523946
Croatia,HRV,1940,8.548524
Croatia,HRV,1941,9.78659
Croatia,HRV,1942,9.966245
Croatia,HRV,1943,11.495143
Croatia,HRV,1944,10.638849
Croatia,HRV,1945,10.844975
Croatia,HRV,1946,11.375316
Croatia,HRV,1947,11.191208
Croatia,HRV,1948,10.6917925
Croatia,HRV,1949,11.384778
Croatia,HRV,1950,12.213485
Croatia,HRV,1951,12.106568
Croatia,HRV,1952,11.512191
Croatia,HRV,1953,11.007823
Croatia,HRV,1954,10.280188
Croatia,HRV,1955,10.772274
Croatia,HRV,1956,9.855572
Croatia,HRV,1957,11.3056345
Croatia,HRV,1958,11.560119
Croatia,HRV,1959,11.420657
Croatia,HRV,1960,11.7034645
Croatia,HRV,1961,12.145383
Croatia,HRV,1962,10.665722
Croatia,HRV,1963,10.367612
Croatia,HRV,1964,10.209001
Croatia,HRV,1965,10.371881
Croatia,HRV,1966,11.539012
Croatia,HRV,1967,11.336938
Croatia,HRV,1968,11.283633
